"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094897,0.999971325965246,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","fuzzy",1,1,1,1,1,1,0.999999999999873,0.999998430890001,0.999539908138104,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cuda/20260722_125640_1071197/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cuda/20260722_125640_1071197/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","fuzzy",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014349456397,0.99847144475113,0.999754924530074,0,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cpu1/20260726_110400_1117502/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","binary",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014871601525,-0.00249843966560774,,0,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cpu1/20260726_110400_1117502/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","fuzzy",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014349456397,0.99847144475113,0.999754924530074,0,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cpu4/20260726_105707_1117513/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","binary",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014871601525,-0.00249843966560774,,0,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cpu4/20260726_105707_1117513/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cuda","fuzzy",0.999983333333333,0.999958002603839,0.999892382890923,0.999999999128483,0.999983370693233,0.999957998193922,0.999999482760652,0.999986836684928,0.901561935322775,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cuda/20260726_111229_1117524/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cuda","binary",0.999983333333333,0.999958002603839,0.999892382890923,0.999999999128483,0.999983370693233,0.999958002603839,-2.09991390352995e-05,,0,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/landmark/cuda/20260726_111229_1117524/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","fuzzy",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014349456397,0.99847144475113,0.999754924530074,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/knn_affinity_umap_graph_agreement.csv"
"Macosko2015_retina","cpu","binary",0.99795,0.995014871601525,0.986944966750025,0.999745055375788,0.997948880119176,0.995014871601525,-0.00249843966560774,,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/knn_affinity_umap_graph_agreement.csv"
