"dataset","runtime_candidate","trust_candidate","preserve30_candidate","label_accuracy_candidate","peak_ram_gb_candidate","runtime_reference","trust_reference","preserve30_reference","label_accuracy_reference","peak_ram_gb_reference","speedup","trust_delta","preserve30_delta","label_accuracy_delta","ram_ratio","candidate","reference","family"
"MNIST",1.938,0.924249082170254,0.474276377217554,0.96218487394958,1.45226669311523,125.833,0.906553648955964,0.468534080298786,0.956582633053221,2.14950942993164,64.9293085655315,0.01769543321429,0.00574229691876799,0.00560224089635897,0.675627039775962,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"Macosko2015_retina",0.916,0.924561355589277,0.423583333333333,0.966,0.987293243408203,52.268,0.919542286292362,0.4127,0.9675,0.546253204345703,57.061135371179,0.00501906929691498,0.010883333333333,-0.00150000000000006,1.80739121629643,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"MetRef",0.701,0.885633223277856,0.451355479190531,0.722794959908362,0.990623474121094,0.878,0.878097163263931,0.412600229095074,0.698739977090493,0.417247772216797,1.25249643366619,0.00753606001392504,0.038755250095457,0.024054982817869,2.37418517265654,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"TabulaMuris",3.088,0.983247091552858,0.631933333333333,0.8405,0.817470550537109,105.214,0.93335397066262,0.562966666666667,0.814,0.586219787597656,34.0718911917098,0.049893120890238,0.0689666666666661,0.0265000000000001,1.39447792079337,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"USPS",0.767,0.954678663406683,0.456853333333333,0.7376,0.987209320068359,12.193,0.942293985330073,0.45736,0.7592,0.517940521240234,15.897001303781,0.0123846780766099,-0.000506666666666988,-0.0216,1.90602835573559,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"flow18",5.471,0.977266885853988,0.441033333333333,0.956,0.944881439208984,1925.527,0.77698406676783,0.2256,0.7445,3.26904678344727,351.951562785597,0.200282819086158,0.215433333333333,0.2115,0.289038824403911,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"mass41",5.773,0.975007975046367,0.415983333333333,0.887,0.926914215087891,2307.297,0.868080374304502,0.29875,0.762,3.40436553955078,399.67036203014,0.106927600741865,0.117233333333333,0.125,0.272272235257734,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"COIL20",13.469,0.826791337317653,0.48482905982906,0.628205128205128,0.543449401855469,23.495,0.860404215667374,0.581623931623932,0.647435897435897,1.06206512451172,1.74437597445987,-0.033612878349721,-0.096794871794872,-0.019230769230769,0.511691222424159,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"FashionMNIST",47.722,0.966259267817112,0.580999066293184,0.728291316526611,0.808822631835938,61.679,0.944238650597721,0.545331465919701,0.717086834733894,1.40840148925781,1.29246469133733,0.022020617219391,0.0356676003734829,0.011204481792717,0.574284135599832,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
"MNIST",50.042,0.925011451758706,0.490056022408964,0.959383753501401,0.79296875,65.338,0.928768439358377,0.491316526610644,0.96218487394958,1.61708450317383,1.30566324287598,-0.00375698759967102,-0.00126050420168,-0.00280112044817893,0.490369395318334,"fastEmbedR_umap_cpu_fuzzy_full","uwot_fast_sgd","UMAP"
