"dataset","method","method_label","family","backend","profile","timing_interface","n_runs","runtime","runtime_q1","runtime_q3","dataset_label","display_label"
"MNIST","umap_package","umap","UMAP","cpu","cpu4","R public function",3,1038.809,1038.5775,1061.974,"MNIST","umap [CPU]"
"FashionMNIST","umap_package","umap","UMAP","cpu","cpu4","R public function",3,1188.269,1185.6455,1210.619,"Fashion-MNIST","umap [CPU]"
"Macosko2015_retina","umap_package","umap","UMAP","cpu","cpu4","R public function",3,465.905,455.8465,467.0055,"Retina","umap [CPU]"
"mass41","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,913.797,913.2705,913.8045,"mass41","uwot default [CPU]"
"USPS","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,9.936,9.8625,10.038,"USPS","uwot default [CPU]"
"FashionMNIST","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,78.885,77.2825,79.6105,"Fashion-MNIST","uwot default [CPU]"
"flow18","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,1339.36,1320.773,1347.8855,"flow18","uwot default [CPU]"
"COIL20","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,22.766,22.738,22.9155,"COIL-20","uwot default [CPU]"
"MNIST","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,80.129,79.4495,81.1455,"MNIST","uwot default [CPU]"
"MetRef","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,2.206,2.2015,2.2115,"MetRef","uwot default [CPU]"
"TabulaMuris","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,84.374,82.6495,84.382,"Tabula Muris","uwot default [CPU]"
"Macosko2015_retina","uwot_default","uwot default","UMAP","cpu","cpu4","R public function",3,31.439,31.1245,32.0445,"Retina","uwot default [CPU]"
"flow18","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,789.126,784.3195,796.48,"flow18","uwot fast SGD [CPU]"
"MNIST","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,65.338,65.188,65.371,"MNIST","uwot fast SGD [CPU]"
"COIL20","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,23.495,23.383,24.4705,"COIL-20","uwot fast SGD [CPU]"
"Macosko2015_retina","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,20.831,20.275,21.59,"Retina","uwot fast SGD [CPU]"
"TabulaMuris","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,59.054,58.2395,59.3975,"Tabula Muris","uwot fast SGD [CPU]"
"FashionMNIST","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,61.679,60.8655,62.465,"Fashion-MNIST","uwot fast SGD [CPU]"
"mass41","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,407.708,401.999,408.693,"mass41","uwot fast SGD [CPU]"
"USPS","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,7.497,7.3935,7.5195,"USPS","uwot fast SGD [CPU]"
"MetRef","uwot_fast_sgd","uwot fast SGD","UMAP","cpu","cpu4","R public function",3,1.578,1.5615,1.622,"MetRef","uwot fast SGD [CPU]"
"COIL20","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,20.974,20.8005,21.005,"COIL-20","Python umap-learn via R [CPU]"
"MNIST","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,83.356,83.1485,84.211,"MNIST","Python umap-learn via R [CPU]"
"Macosko2015_retina","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,50.987,50.5515,51.574,"Retina","Python umap-learn via R [CPU]"
"MetRef","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,15.081,14.6945,15.102,"MetRef","Python umap-learn via R [CPU]"
"FashionMNIST","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,79.73,77.004,80.1735,"Fashion-MNIST","Python umap-learn via R [CPU]"
"TabulaMuris","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,90.442,88.7825,93.868,"Tabula Muris","Python umap-learn via R [CPU]"
"USPS","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,22.939,22.5165,23.2385,"USPS","Python umap-learn via R [CPU]"
"flow18","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,1143.379,1106.332,1154.2565,"flow18","Python umap-learn via R [CPU]"
"mass41","python_umap_learn","Python umap-learn via R","UMAP","cpu","cpu4","R/reticulate",3,1118.253,1084.5035,1118.6075,"mass41","Python umap-learn via R [CPU]"
