"dataset","method","backend","status","n","p","cpu_threads","timing_mode","runtime_sec","process_elapsed_sec","python_fit_sec","max_rss_gb","trustworthiness","nn_preservation","silhouette","knn_label_accuracy","knn_preservation_15","knn_preservation_50","quality_sample_n","plot_file","error","key_manuscript_dataset","suite","profile","seed","source_file"
"COIL20","python_opentsne_fft","cpu","success",1440,16384,4,"reticulate",34.044,34.044,,,0.980214753391359,0.726736111111111,0.400200163298135,0.892361111111111,0.78125,0.701625,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/plots/COIL20_python_opentsne_fft_threads4_seed42.png",,FALSE,"python","cpu4","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/embedding_quality_table.csv"
"COIL20","python_opentsne_fft_direct","cpu","success",1440,16384,4,"native_python_process",29.6952575081959,30.924,29.6952575081959,,0.980214753391359,0.726736111111111,0.400200163379287,0.892361111111111,0.78125,0.701625,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/plots/COIL20_python_opentsne_fft_direct_threads4_seed42.png",,FALSE,"python","cpu4","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/embedding_quality_table.csv"
"COIL20","python_umap_learn","cpu","success",1440,16384,4,"reticulate",20.974,20.974,,,0.983820931022766,0.735949074074074,0.496717871302578,0.825694444444444,0.721944444444444,0.705930555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/plots/COIL20_python_umap_learn_threads4_seed42.png",,FALSE,"python","cpu4","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/embedding_quality_table.csv"
"COIL20","python_umap_learn_direct","cpu","success",1440,16384,4,"native_python_process",17.3789681107737,18.501,17.3789681107737,,0.983820931022766,0.735949074074074,0.496717871302578,0.825694444444444,0.721944444444444,0.705930555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/plots/COIL20_python_umap_learn_direct_threads4_seed42.png",,FALSE,"python","cpu4","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_42/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full","cuda","success",1440,16384,1,"reticulate",5.799,5.799,,,0.983294388248517,0.734375,0.341627795155738,0.890277777777778,0.771759259259259,0.7065,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/plots/COIL20_rapids_cuml_tsne_full_threads1_seed17.png",,FALSE,"python","cuda","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full_direct","cuda","success",1440,16384,1,"native_python_process",2.13312627840787,3.243,2.13312627840787,,0.982370455317703,0.732106481481481,0.335226418093741,0.897916666666667,0.772453703703704,0.701027777777778,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/plots/COIL20_rapids_cuml_tsne_full_direct_threads1_seed17.png",,FALSE,"python","cuda","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full","cuda","success",1440,16384,1,"reticulate",3.338,3.338,,,0.98054385896129,0.723333333333333,0.445319498795363,0.8,0.669768518518518,0.708694444444444,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/plots/COIL20_rapids_cuml_umap_full_threads1_seed17.png",,FALSE,"python","cuda","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full_direct","cuda","success",1440,16384,1,"native_python_process",1.87512004654855,2.856,1.87512004654855,,0.98054385896129,0.723333333333333,0.445319498795363,0.8,0.669768518518518,0.708694444444444,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/plots/COIL20_rapids_cuml_umap_full_direct_threads1_seed17.png",,FALSE,"python","cuda","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_17/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full","cuda","success",1440,16384,1,"reticulate",6.465,6.465,,,0.983377015865548,0.728981481481481,0.326483630121058,0.896527777777778,0.771111111111111,0.705069444444444,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/plots/COIL20_rapids_cuml_tsne_full_threads1_seed4.png",,FALSE,"python","cuda","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full_direct","cuda","success",1440,16384,1,"native_python_process",2.09984131995589,3.217,2.09984131995589,,0.983067513526229,0.731481481481482,0.327253342888,0.879166666666667,0.772268518518519,0.704152777777778,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/plots/COIL20_rapids_cuml_tsne_full_direct_threads1_seed4.png",,FALSE,"python","cuda","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full","cuda","success",1440,16384,1,"reticulate",3.444,3.444,,,0.978102635981076,0.716203703703704,0.442763743240997,0.811805555555556,0.6575,0.703444444444444,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/plots/COIL20_rapids_cuml_umap_full_threads1_seed4.png",,FALSE,"python","cuda","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full_direct","cuda","success",1440,16384,1,"native_python_process",1.86097252648324,2.838,1.86097252648324,,0.978102635981076,0.716203703703704,0.442763743240997,0.811805555555556,0.6575,0.703444444444444,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/plots/COIL20_rapids_cuml_umap_full_direct_threads1_seed4.png",,FALSE,"python","cuda","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_4/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full","cuda","success",1440,16384,1,"reticulate",5.812,5.812,,,0.981160511252254,0.727453703703704,0.339663029676983,0.883333333333333,0.76837962962963,0.697638888888889,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/plots/COIL20_rapids_cuml_tsne_full_threads1_seed42.png",,FALSE,"python","cuda","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/embedding_quality_table.csv"
"COIL20","rapids_cuml_tsne_full_direct","cuda","success",1440,16384,1,"native_python_process",2.11078825686127,3.225,2.11078825686127,,0.981138686322173,0.724143518518519,0.338096641766214,0.883333333333333,0.774583333333333,0.692097222222222,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/plots/COIL20_rapids_cuml_tsne_full_direct_threads1_seed42.png",,FALSE,"python","cuda","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full","cuda","success",1440,16384,1,"reticulate",3.358,3.358,,,0.978636725999111,0.713657407407407,0.439402472841835,0.795833333333333,0.651805555555556,0.702458333333333,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/plots/COIL20_rapids_cuml_umap_full_threads1_seed42.png",,FALSE,"python","cuda","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/embedding_quality_table.csv"
"COIL20","rapids_cuml_umap_full_direct","cuda","success",1440,16384,1,"native_python_process",1.86406767833978,2.84,1.86406767833978,,0.978636725999111,0.713657407407407,0.439402472841835,0.795833333333333,0.651805555555556,0.702458333333333,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/plots/COIL20_rapids_cuml_umap_full_direct_threads1_seed42.png",,FALSE,"python","cuda","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cuda/20260722_160208_1071222/seed_42/embedding_quality_table.csv"
"FashionMNIST","python_opentsne_fft","cpu","success",70000,784,1,"reticulate",224.514,224.514,,,0.961271981487702,0.414877777777778,0.116125857353816,0.791666666666667,0.379688888888889,0.443986666666667,5000,"/scratch/firenze/NN/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/plots/FashionMNIST_python_opentsne_fft_threads1_seed17.png",,TRUE,"python","cpu1","17","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/embedding_quality_table.csv"
"FashionMNIST","python_opentsne_fft_direct","cpu","success",70000,784,1,"native_python_process",211.274181887507,212.936,211.274181887507,,0.961271981487702,0.414877777777778,0.116125856891065,0.791666666666667,0.379688888888889,0.443986666666667,5000,"/scratch/firenze/NN/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/plots/FashionMNIST_python_opentsne_fft_direct_threads1_seed17.png",,TRUE,"python","cpu1","17","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/embedding_quality_table.csv"
"FashionMNIST","python_umap_learn","cpu","success",70000,784,1,"reticulate",73.755,73.755,,,0.953632217370209,0.406955555555556,0.205500349441179,0.751,0.341688888888889,0.456686666666667,5000,"/scratch/firenze/NN/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/plots/FashionMNIST_python_umap_learn_threads1_seed17.png",,TRUE,"python","cpu1","17","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/embedding_quality_table.csv"
"FashionMNIST","python_umap_learn_direct","cpu","success",70000,784,1,"native_python_process",72.6529015488923,74.339,72.6529015488923,,0.953632217370209,0.406955555555556,0.205500349441179,0.751,0.341688888888889,0.456686666666667,5000,"/scratch/firenze/NN/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/plots/FashionMNIST_python_umap_learn_direct_threads1_seed17.png",,TRUE,"python","cpu1","17","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_17/embedding_quality_table.csv"
"FashionMNIST","python_opentsne_fft","cpu","success",70000,784,1,"reticulate",238.413,238.413,,,0.965716209457694,0.434077777777778,0.123735597885327,0.795666666666667,0.392688888888889,0.46328,5000,"/scratch/firenze/NN/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_4/plots/FashionMNIST_python_opentsne_fft_threads1_seed4.png",,TRUE,"python","cpu1","4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/python/cpu1/20260721_084502_1071201/seed_4/embedding_quality_table.csv"
