"dataset","method","implementation","backend","runtime","quality","reference_runtime","reference_quality","speedup","quality_delta","panel","dataset_label","pareto_method"
"FashionMNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",121.761,0.593650793650794,61.679,0.545331465919701,0.506557929057744,0.0483193277310929,"UMAP: Preserve@30 difference vs uwot fast SGD","Fashion-MNIST","binary UMAP CPU4"
"MNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",113.974,0.496825396825397,65.338,0.491316526610644,0.573271096916841,0.00550887021475299,"UMAP: Preserve@30 difference vs uwot fast SGD","MNIST","binary UMAP CPU4"
"MNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",1.047,0.494677871148459,65.338,0.491316526610644,62.4049665711557,0.003361344537815,"UMAP: Preserve@30 difference vs uwot fast SGD","MNIST","binary UMAP CUDA"
"MNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",50.042,0.490056022408964,65.338,0.491316526610644,1.30566324287598,-0.00126050420168,"UMAP: Preserve@30 difference vs uwot fast SGD","MNIST","fuzzy UMAP CPU4"
"MNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.991,0.490429505135387,65.338,0.491316526610644,65.9313824419778,-0.000887021475256988,"UMAP: Preserve@30 difference vs uwot fast SGD","MNIST","fuzzy UMAP CUDA"
"Macosko2015_retina","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",17.928,0.4069,20.831,0.40715,1.16192547969656,-0.000250000000000028,"UMAP: Preserve@30 difference vs uwot fast SGD","Retina","fuzzy UMAP CPU4"
"Macosko2015_retina","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.656,0.399033333333333,20.831,0.40715,31.7545731707317,-0.00811666666666699,"UMAP: Preserve@30 difference vs uwot fast SGD","Retina","fuzzy UMAP CUDA"
"Macosko2015_retina","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",65.488,0.414833333333333,20.831,0.40715,0.318088810163694,0.00768333333333299,"UMAP: Preserve@30 difference vs uwot fast SGD","Retina","binary UMAP CPU4"
"Macosko2015_retina","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",0.698,0.41525,20.831,0.40715,29.8438395415473,0.0081,"UMAP: Preserve@30 difference vs uwot fast SGD","Retina","binary UMAP CUDA"
"MetRef","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",0.669,0.414471172203131,1.578,0.422947689957999,2.35874439461883,-0.00847651775486796,"UMAP: Preserve@30 difference vs uwot fast SGD","MetRef","fuzzy UMAP CPU4"
"MetRef","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.58,0.42401680030546,1.578,0.422947689957999,2.72068965517241,0.00106911034746104,"UMAP: Preserve@30 difference vs uwot fast SGD","MetRef","fuzzy UMAP CUDA"
"MetRef","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",0.955,0.347155402825506,1.578,0.422947689957999,1.65235602094241,-0.075792287132493,"UMAP: Preserve@30 difference vs uwot fast SGD","MetRef","binary UMAP CPU4"
"MetRef","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",0.578,0.363535700649103,1.578,0.422947689957999,2.73010380622837,-0.059411989308896,"UMAP: Preserve@30 difference vs uwot fast SGD","MetRef","binary UMAP CUDA"
"TabulaMuris","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",33.012,0.6115,59.054,0.640133333333333,1.78886465527687,-0.028633333333333,"UMAP: Preserve@30 difference vs uwot fast SGD","Tabula Muris","fuzzy UMAP CPU4"
"TabulaMuris","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.891,0.603483333333333,59.054,0.640133333333333,66.2783389450056,-0.03665,"UMAP: Preserve@30 difference vs uwot fast SGD","Tabula Muris","fuzzy UMAP CUDA"
"TabulaMuris","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",105.016,0.647966666666667,59.054,0.640133333333333,0.562333358726289,0.00783333333333402,"UMAP: Preserve@30 difference vs uwot fast SGD","Tabula Muris","binary UMAP CPU4"
"TabulaMuris","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",0.981,0.649883333333333,59.054,0.640133333333333,60.1977573904179,0.00975000000000004,"UMAP: Preserve@30 difference vs uwot fast SGD","Tabula Muris","binary UMAP CUDA"
"USPS","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",0.616,0.393946666666667,7.497,0.3724,12.1704545454545,0.021546666666667,"UMAP: Preserve@30 difference vs uwot fast SGD","USPS","binary UMAP CUDA"
"USPS","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",5.857,0.366933333333333,7.497,0.3724,1.28000682943486,-0.00546666666666701,"UMAP: Preserve@30 difference vs uwot fast SGD","USPS","fuzzy UMAP CPU4"
"USPS","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",15.192,0.4036,7.497,0.3724,0.493483412322275,0.0312,"UMAP: Preserve@30 difference vs uwot fast SGD","USPS","binary UMAP CPU4"
"USPS","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.628,0.36496,7.497,0.3724,11.937898089172,-0.00744,"UMAP: Preserve@30 difference vs uwot fast SGD","USPS","fuzzy UMAP CUDA"
"flow18","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",878.961,0.433583333333333,789.126,0.429433333333333,0.897794100079526,0.00414999999999999,"UMAP: Preserve@30 difference vs uwot fast SGD","flow18","binary UMAP CPU4"
"flow18","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",2.562,0.4303,789.126,0.429433333333333,308.011709601874,0.000866666666667015,"UMAP: Preserve@30 difference vs uwot fast SGD","flow18","binary UMAP CUDA"
"flow18","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",398.817,0.4298,789.126,0.429433333333333,1.97866690737857,0.000366666666667015,"UMAP: Preserve@30 difference vs uwot fast SGD","flow18","fuzzy UMAP CPU4"
"flow18","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",1.77,0.427016666666667,789.126,0.429433333333333,445.833898305085,-0.00241666666666601,"UMAP: Preserve@30 difference vs uwot fast SGD","flow18","fuzzy UMAP CUDA"
"mass41","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",411.15,0.4102,407.708,0.41075,0.991628359479509,-0.000549999999999995,"UMAP: Preserve@30 difference vs uwot fast SGD","mass41","fuzzy UMAP CPU4"
"mass41","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",2.151,0.409,407.708,0.41075,189.543468154347,-0.00175000000000003,"UMAP: Preserve@30 difference vs uwot fast SGD","mass41","fuzzy UMAP CUDA"
"mass41","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",844.689,0.413716666666667,407.708,0.41075,0.482672320818668,0.00296666666666701,"UMAP: Preserve@30 difference vs uwot fast SGD","mass41","binary UMAP CPU4"
"mass41","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",3.009,0.41075,407.708,0.41075,135.49617813227,0,"UMAP: Preserve@30 difference vs uwot fast SGD","mass41","binary UMAP CUDA"
