"dataset","method","method_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3","r_public_function_total_call_sec","r_mediated_total_call_sec","direct_python_fit_sec","direct_python_process_total_sec","dataset_label","display_label"
"MetRef","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,15.593038574094,14.6339892125688,15.6910352250562,,,15.593038574094,16.364,"MetRef","Python openTSNE direct (fit only) [CPU]"
"TabulaMuris","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,87.8777839019895,87.6628818300087,89.9889848229941,,,87.8777839019895,88.531,"Tabula Muris","Python openTSNE direct (fit only) [CPU]"
"USPS","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,44.5203884639777,43.9677056154469,44.5263945724582,,,44.5203884639777,44.928,"USPS","Python openTSNE direct (fit only) [CPU]"
"flow18","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,610.252521623857,604.671843291027,618.028243823908,,,610.252521623857,612.617,"flow18","Python openTSNE direct (fit only) [CPU]"
"mass41","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,572.086173487362,555.876685773022,588.16974529135,,,572.086173487362,574.612,"mass41","Python openTSNE direct (fit only) [CPU]"
"Macosko2015_retina","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.668,5.66,6.019,,5.668,,,"Retina","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"COIL20","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.812,5.8055,6.1385,,5.812,,,"COIL-20","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"FashionMNIST","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.78,6.652,7.8165,,6.78,,,"Fashion-MNIST","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"MNIST","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.433,6.4245,6.4445,,6.433,,,"MNIST","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"MetRef","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.048,5.0205,5.051,,5.048,,,"MetRef","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"TabulaMuris","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,6.195,6.19,6.214,,6.195,,,"Tabula Muris","RAPIDS cuML t-SNE via R (total call) [CUDA]"
"USPS","rapids_cuml_tsne_full","RAPIDS cuML t-SNE via R (total call)","t-SNE","cuda","cuda","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,5.358,5.3545,5.3605,,5.358,,,"USPS","RAPIDS cuML t-SNE via R (total call) [CUDA]"
